Date,Mining depth (m),Daily extracted ammount raw (tons),Copper content in raw material (%),Daily energetic consumtion (MW/h),Working hours,Copper price ($),Daily expenses ($),Estimated daily earnings ($),Temperature (C°),Workers Strikes,Machine breakdowns
30/04/2025,361.78,533.39,0.37,29.64,11.23,3998.72,76072.64,713091.95,14.49,0,0
01/05/2025,639.76,526.96,0.46,37.49,12.16,7513.39,79734.02,1741523.74,21.37,0,1
02/05/2025,325.25,254.21,0.45,32.84,11.35,9605.42,85938.78,1012868.44,10.16,0,0
05/05/2025,718.1,426.25,0.39,34.66,9.62,4773.33,169625.68,623880.77,28.38,0,0
06/05/2025,699.22,532.81,0.42,39.69,10.43,9082.53,211338.17,1821152.21,13.69,0,0
07/05/2025,438.32,446.96,0.43,24.94,15.09,7154.51,89148.14,1285897.17,12.06,0,0
08/05/2025,611.88,354.97,0.41,38.87,9.46,9981.56,125883.06,1326810.22,16.76,0,0
09/05/2025,535.11,204.16,0.46,40.12,11.07,2553.12,64187.020000000004,175585.67,18.45,0,0
12/05/2025,672.24,478.21,0.48,32.04,11.32,5493.78,79577.23,1181469.43,7.4,0,0
13/05/2025,647.78,222.72,0.45,33.92,12.13,8589.82,149663.99,711242.13,23.56,0,0
14/05/2025,308.14,546.74,0.39,38.28,12.58,6938.19,134627.43,1344793.11,13.94,0,0
15/05/2025,392.92,540.6,0.55,32.22,13.38,8526.18,83575.82,2451513.28,7.93,0,0
16/05/2025,669.44,429.9,0.36,25.11,15.26,7410.24,76471.36,1070367.02,21.07,0,0
19/05/2025,563.14,557.33,0.32,38.38,14.69,12550.73,119864.59,2118502.88,12.17,0,0
20/05/2025,427.63,250.59,0.35,26.3,12.34,5812.73,72465.36,437348.84,25.65,0,0
21/05/2025,545.55,306.37,0.39,38.18,12.4,9356.23,82982.41,1034940.18,11.9,0,0
22/05/2025,328.5,563.33,0.39,43.86,16.09,6555.44,52743.15,1387478.5,16.29,0,0
23/05/2025,735.82,470.07,0.42,27.5,10.64,6654.96,96649.5,1217235.26,17.27,0,1
27/05/2025,573.31,300.97,0.41,34.92,10.06,8378.11,152087.16,881752.34,18.86,0,0
28/05/2025,462.83,502.75,0.51,29.42,8.66,7011.37,87659.65,1710073.15,9.49,0,0
29/05/2025,347.85,438.82,0.43,37.56,15.72,4330.71,100176.22,716996.71,13.56,0,0
30/05/2025,642.83,446.89,0.44,39.49,11.51,8660.65,136163.53,1566793.94,9.66,0,0
02/06/2025,666.16,379.41,0.47,36.11,15.87,8114.47,109767.16,1337227.04,16.53,0,0
03/06/2025,623.92,365.65,0.47,30.8,12.54,6801.33,100667.70999999999,1068178.26,16.29,0,0
04/06/2025,424.49,361.68,0.38,28.31,10.31,6600.58,64873.44,842299.71,19.12,0,0
05/06/2025,542.23,402.73,0.45,17.57,13.13,5203.22,59937.67,883034.09,23.02,0,1
06/06/2025,761.09,358.2,0.44,44.98,12.6,9900.31,126995.12,1433372.94,21.98,0,0
09/06/2025,583.48,404.5,0.42,41.69,11.2,7141.34,169185.2,1044057.05,24.95,0,0
10/06/2025,550.24,380.38,0.46,33.53,12.49,7489.96,60128.29,1250425.96,21.14,0,0
11/06/2025,374.09,51.22,0.46,28.2,8.55,8249.95,220263.11,-25884.39,17.66,0,0
12/06/2025,350.1,452.15,0.41,39.34,16.04,8819.45,102560.53,1532402.34,17.59,0,0
13/06/2025,499.84,371.51,0.45,37.29,12.5,3240.41,66434.20999999999,475295.91,17.36,0,0
16/06/2025,700.84,346.32,0.44,35.68,13.4,6829.12,53702.01,986924.76,8.06,0,0
17/06/2025,690.43,305.43,0.37,49.18,13.24,7443.01,124873.45,716254.41,13.52,0,0
18/06/2025,580.54,270.78,0.46,36.68,12.89,3964.56,80264.67,413556.17,25.12,0,0
20/06/2025,409.01,528.9,0.47,36.08,12.49,6539.35,82652.44,1542918.8,19.66,0,0
23/06/2025,759.99,306.1,0.41,45.24,8.73,6488.01,79555.69,734696.05,14.15,0,0
24/06/2025,366.46,347.93,0.39,32.35,16.64,7111.53,107463.16,857519.55,22.16,0,0
25/06/2025,422.23,299.53,0.38,36.32,12.87,6247.56,121727.55,589378.48,14.55,0,0
26/06/2025,398.59,256.56,0.37,42.44,11.6,8133.41,100748.36,671333.48,14.16,0,0
27/06/2025,306.69,473.44,0.4,38.72,12.19,5478.16,69491.72,967940.31,21.53,0,0
30/06/2025,457.97,314.76,0.43,29.5,9.0,8677.99,75846.99,1098691.19,24.39,0,0
01/07/2025,358.69,387.55,0.51,38.21,13.69,8839.3,69421.55,1677670.51,14.3,0,0
02/07/2025,477.65,477.55,0.45,41.43,12.74,5784.3,86173.04000000001,1156858.57,21.83,0,0
03/07/2025,730.62,436.73,0.48,37.15,13.65,8472.81,103269.84,1672888.71,10.1,0,0
07/07/2025,449.43,279.56,0.42,31.62,11.85,10560.09,101786.48000000001,1138128.6,14.61,0,0
08/07/2025,482.8,258.48,0.43,41.5,12.12,6807.5,72941.65,683687.47,17.01,0,0
09/07/2025,429.53,556.9,0.5,30.84,8.54,5492.79,167097.14,1362370.24,10.5,0,0
10/07/2025,356.47,511.44,0.46,32.2,11.11,6824.23,138111.62,1467373.11,16.34,0,1
11/07/2025,598.59,486.63,0.54,28.59,9.5,8392.05,75271.25,2129993.33,11.76,0,0
14/07/2025,510.48,372.56,0.41,32.53,12.06,6956.41,90193.66,972395.18,20.5,0,0
15/07/2025,740.51,253.37,0.4,41.44,14.2,8847.55,126054.05,770627.45,13.89,0,0
16/07/2025,726.74,448.92,0.43,51.54,11.48,7188.88,82778.41,1304931.35,18.45,0,0
17/07/2025,359.94,221.33,0.33,50.82,11.42,6631.14,59159.59,425171.58,15.81,0,0
18/07/2025,725.86,310.05,0.42,24.74,16.11,6365.79,83979.06,744980.48,21.5,0,0
21/07/2025,648.14,303.42,0.56,44.0,11.53,6131.83,120415.92,921475.2,27.84,0,0
22/07/2025,586.85,477.16,0.37,34.81,8.64,7159.44,70148.5,1193844.9,25.37,0,0
23/07/2025,685.15,349.61,0.36,54.78,7.58,7960.7,113695.58,888234.94,17.35,0,0
24/07/2025,476.19,363.42,0.44,41.08,8.1,6571.07,169485.75,881259.88,12.81,0,0
25/07/2025,320.66,216.28,0.33,36.24,10.49,6226.91,142254.33000000002,302175.18,14.38,0,0
28/07/2025,666.11,483.21,0.38,31.53,14.71,6581.13,72415.44,1136010.33,17.37,0,0
29/07/2025,690.2,251.25,0.46,42.51,13.78,7934.39,95993.92,821023.2,10.08,0,0
30/07/2025,546.18,227.64,0.44,59.3,14.17,4027.66,65800.73,337616.14,10.9,0,0
31/07/2025,663.38,460.82,0.34,31.22,7.94,4641.58,68976.28,658260.9,11.35,0,0
01/08/2025,739.95,461.27,0.45,37.03,11.39,6087.38,65964.45999999999,1197602.14,9.93,0,0
04/08/2025,648.32,358.71,0.4,34.2,14.33,6059.93,57902.88,811600.12,13.53,0,0
05/08/2025,666.32,431.41,0.41,40.81,12.84,9438.65,77501.05,1591989.43,22.44,0,0
06/08/2025,375.29,697.78,0.5,42.91,11.14,11325.72,73809.83,3877620.62,20.28,0,0
