Date,Mining depth (m),Daily extracted ammount raw (tons),Copper content in raw material (%),Daily energetic consumtion (MW/h),Working hours,Copper price ($),Daily expenses ($),Estimated daily earnings ($),Temperature (C°),Workers Strikes,Machine breakdowns
30/04/2025,523.88,511.12,0.45,29.63,10.73,5312.49,85648.6,1136245.35,21.98,0,0
01/05/2025,311.06,208.31,0.54,35.93,13.89,9970.41,84355.79000000001,1037189.71,12.08,0,0
02/05/2025,616.86,338.89,0.49,51.39,13.63,7972.85,61858.83,1262081.55,14.15,0,0
05/05/2025,619.71,351.98,0.46,46.03,12.68,5611.06,91193.79000000001,817297.42,8.82,0,0
06/05/2025,745.45,517.77,0.4,32.57,13.4,4862.77,130905.94,876212.63,18.42,0,0
07/05/2025,354.0,308.21,0.41,45.3,12.16,4887.93,62042.84,555625.81,15.49,0,0
08/05/2025,414.68,582.52,0.29,35.16,13.54,5994.79,79108.03,933596.64,17.43,0,0
09/05/2025,677.86,235.88,0.38,43.35,14.45,6976.43,120382.63,504945.49,13.73,0,0
12/05/2025,486.68,422.8,0.35,29.66,11.16,7057.34,188557.46,855787.71,14.71,0,0
13/05/2025,602.46,236.32,0.39,43.46,11.01,6152.85,55380.25,511695.94,22.82,0,0
14/05/2025,500.47,516.65,0.48,51.43,14.16,6982.12,77452.26,1654057.64,22.14,0,0
15/05/2025,633.9,170.32,0.34,36.4,6.89,6899.93,71249.83,328316.84,14.47,0,0
16/05/2025,697.13,433.52,0.38,29.07,12.41,7857.18,100094.47,1194278.51,26.05,0,0
19/05/2025,342.6,340.01,0.35,28.57,13.26,8713.32,81065.15,955850.43,14.51,0,0
20/05/2025,691.79,441.1,0.45,26.32,8.75,5971.43,84055.45,1101243.55,17.75,0,0
21/05/2025,752.51,296.86,0.44,34.48,12.19,7559.57,141366.69,846052.25,24.84,0,0
22/05/2025,517.26,230.15,0.46,23.02,11.5,7531.4,88450.36,708891.43,15.98,0,0
23/05/2025,459.6,365.09,0.38,42.1,16.0,4682.91,127533.85,522145.92,19.29,0,0
27/05/2025,466.33,382.43,0.38,35.14,13.15,5395.36,92102.56,691969.5,16.81,0,0
28/05/2025,752.11,469.11,0.46,31.51,14.03,9033.86,91724.73999999999,1857697.33,14.98,0,0
29/05/2025,743.22,531.3,0.45,32.84,10.67,5932.72,73859.39,1344564.97,24.98,0,0
30/05/2025,643.12,305.29,0.48,28.56,12.5,7716.6,89347.7,1041436.69,8.57,0,0
02/06/2025,493.33,496.66,0.39,33.21,11.0,9247.58,147332.97,1643899.23,22.76,0,0
03/06/2025,615.63,479.15,0.44,34.16,6.92,11145.27,80250.81,2269461.88,7.88,0,0
04/06/2025,514.1,420.83,0.45,26.14,14.69,6677.7,134648.87,1129930.55,21.26,0,0
05/06/2025,725.53,636.98,0.41,41.38,9.87,10541.2,83988.9,2668969.87,14.86,0,0
