Date,Mining depth (m),Daily extracted ammount raw (tons),Copper content in raw material (%),Daily energetic consumtion (MW/h),Working hours,Copper price ($),Daily expenses ($),Estimated daily earnings ($),Temperature (C°),Workers Strikes,Machine breakdowns
30/04/2025,536.27,221.71,0.43,39.39,13.34,7138.46,166884.66,513662.57,22.4,0,0
01/05/2025,441.3,181.12,0.36,31.16,13.06,4509.08,88687.37,205319.08,19.08,0,0
02/05/2025,355.07,319.46,0.43,36.96,15.8,10606.11,66206.24,1390731.76,13.34,0,0
05/05/2025,652.65,495.55,0.41,31.83,10.35,6974.53,125572.81,1291480.81,15.17,0,0
06/05/2025,449.08,311.57,0.36,29.67,16.0,7037.81,156253.47,633143.9,14.22,0,0
07/05/2025,729.67,410.32,0.43,31.17,9.14,7319.15,82148.59,1209224.67,13.31,0,0
08/05/2025,607.56,641.88,0.38,29.76,12.38,4171.54,90661.58,926837.1,18.54,0,0
09/05/2025,568.89,473.82,0.45,28.61,14.38,3526.48,66524.16,685388.38,21.84,0,0
12/05/2025,537.76,371.71,0.46,30.36,10.82,5449.0,71450.62,860255.36,21.27,0,0
13/05/2025,399.32,496.59,0.45,26.49,12.55,9162.62,110597.92,1936931.54,16.93,0,0
14/05/2025,753.73,290.56,0.48,34.65,14.93,6981.36,69390.38,904291.52,9.41,0,0
15/05/2025,595.21,186.51,0.42,35.46,10.21,7280.15,92943.01000000001,477341.72,18.0,0,0
16/05/2025,464.48,255.32,0.35,32.52,9.82,7657.09,99596.12,584656.76,21.85,0,0
19/05/2025,389.87,481.15,0.44,31.27,10.99,9020.33,88832.39,1820825.59,21.07,0,0
20/05/2025,376.12,444.53,0.51,39.1,12.32,7053.2,68820.64,1530212.45,15.91,0,0
21/05/2025,490.48,234.58,0.39,30.23,10.31,6849.63,88723.12,537923.5,27.86,0,0
22/05/2025,654.22,424.44,0.37,42.29,13.09,8258.3,160925.85,1135980.71,14.03,0,0
23/05/2025,629.11,398.79,0.32,28.82,10.44,9851.96,88127.12,1169109.08,25.2,0,0
27/05/2025,543.2,272.46,0.3,41.79,13.37,9666.92,123471.57,666683.14,8.39,0,0
28/05/2025,472.29,444.29,0.4,41.84,10.32,7767.74,68840.65,1311611.03,12.62,0,0
29/05/2025,458.55,450.98,0.4,27.8,13.34,7745.27,71450.73,1325734.02,9.67,0,0
30/05/2025,339.81,391.89,0.43,33.82,13.23,5845.88,103702.6,881402.42,13.87,0,0
02/06/2025,537.84,228.74,0.44,24.64,7.88,6006.18,93395.75,511099.84,20.99,0,0
03/06/2025,346.63,439.51,0.42,27.75,8.62,6652.78,150666.71000000002,1077397.89,14.44,0,0
04/06/2025,580.6,429.42,0.39,32.71,10.12,5706.13,116260.13,839367.14,7.35,0,0
05/06/2025,580.89,459.5,0.44,38.72,14.28,5516.74,88030.79000000001,1027343.7,21.13,0,0
06/06/2025,426.4,598.34,0.42,40.76,11.97,8156.01,61761.32,1987866.83,20.09,0,0
